pitcher_key,pitcher,teams,encounter,PA,games,AB,H,BB,HBP,SO,HR,AVG,OBP,SLG,OPS,K_pct,BB_pct,HR_pct,wOBA,wOBA_95_low,wOBA_95_high,RV_per_PA,RV_per_PA_95_low,RV_per_PA_95_high
mariahmazon,Mariah Mazón,"[""Cascade"", ""Volts""]",2,12,3,9,3,2,1,1,0,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.4228501407738263,-0.003045938667210979,0.8487462202148637,0.11482512743260527,-0.1573193191109647,0.3869695739761752
mayajohnson,Maya Johnson,"[""Spark""]",1,90,10,78,21,8,3,16,0,0.2692307692307692,0.35555555555555557,0.32051282051282054,0.6760683760683761,0.17777777777777778,0.08888888888888889,0.0,0.32148472544071327,0.23517068806840424,0.4077987628130223,-0.03529383505714015,-0.11747547873355724,0.04688780861927694
mayajohnson,Maya Johnson,"[""Spark""]",2,57,9,53,16,4,0,8,4,0.3018867924528302,0.3508771929824561,0.6415094339622641,0.9923866269447202,0.14035087719298245,0.07017543859649122,0.07017543859649122,0.4085490496990558,0.2707884965960402,0.5463096028020714,0.023419278349385873,-0.10340531886641519,0.15024387556518692
mayajohnson,Maya Johnson,"[""Spark""]",3+,18,4,15,6,1,2,2,4,0.4,0.5,1.2666666666666666,1.7666666666666666,0.1111111111111111,0.05555555555555555,0.2222222222222222,0.6716088279616499,0.1883299927090603,1.1548876632142395,0.3280154797871103,-0.16237567489190025,0.8184066344661209
meganfaraimo,Megan Faraimo,"[""Talons""]",1,182,22,165,55,12,1,39,6,0.3333333333333333,0.37777777777777777,0.5272727272727272,0.905050505050505,0.21428571428571427,0.06593406593406594,0.03296703296703297,0.3901762344909877,0.3175192131056573,0.46283325587631813,0.006571621602657908,-0.06876676413480977,0.08191000734012559
meganfaraimo,Megan Faraimo,"[""Talons""]",2,102,16,91,22,9,2,14,4,0.24175824175824176,0.3235294117647059,0.3956043956043956,0.7191338073691015,0.13725490196078433,0.08823529411764706,0.0392156862745098,0.32212294541097514,0.20978081850174107,0.4344650723202092,-0.03336435672952294,-0.13806278885336942,0.07133407539432354
meganfaraimo,Megan Faraimo,"[""Talons""]",3+,56,8,49,16,4,0,9,2,0.32653061224489793,0.36363636363636365,0.4489795918367347,0.8126159554730983,0.16071428571428573,0.07142857142857142,0.03571428571428571,0.36108015211178257,0.16928421582866607,0.5528760883948991,0.01480165676312464,-0.15211463745808942,0.1817179509843387
montanafouts,Montana Fouts,"[""Talons""]",1,169,20,157,27,12,0,42,2,0.17197452229299362,0.23076923076923078,0.2484076433121019,0.4791768740813327,0.2485207100591716,0.07100591715976332,0.011834319526627219,0.22363690432314667,0.16832479965142075,0.2789490089948726,-0.12362857938291759,-0.17313511205251986,-0.07412204671331532
montanafouts,Montana Fouts,"[""Talons""]",2,100,14,89,21,6,3,20,2,0.23595505617977527,0.30303030303030304,0.3595505617977528,0.6625808648280558,0.2,0.06,0.02,0.29776961363678006,0.19040532398419624,0.4051339032893639,-0.08872532348122725,-0.18541808786596498,0.007967440903510481
montanafouts,Montana Fouts,"[""Talons""]",3+,63,8,61,13,1,0,13,1,0.21311475409836064,0.2222222222222222,0.36065573770491804,0.5828779599271403,0.20634920634920634,0.015873015873015872,0.015873015873015872,0.23888436167285165,0.1179243103339472,0.3598444130117561,-0.128997140745435,-0.25247208914314306,-0.00552219234772694
nijareecanady,NiJaree Canady,"[""Volts""]",1,46,5,34,12,8,2,1,3,0.35294117647058826,0.5,0.7058823529411765,1.2058823529411766,0.021739130434782608,0.17391304347826086,0.06521739130434782,0.512752644046851,0.3448069246999701,0.6806983633937318,0.08184604175952026,-0.04895108876916213,0.21264317228820265
nijareecanady,NiJaree Canady,"[""Volts""]",2,35,5,32,10,2,1,6,2,0.3125,0.37142857142857144,0.53125,0.9026785714285714,0.17142857142857143,0.05714285714285714,0.05714285714285714,0.39444100466275195,0.26682757449283523,0.5220544348326687,0.02396123751804777,-0.14458211025624113,0.19250458529233666
nijareecanady,NiJaree Canady,"[""Volts""]",3+,10,3,9,5,1,0,0,1,0.5555555555555556,0.6,1.1111111111111112,1.7111111111111112,0.0,0.1,0.1,0.664604338378427,0.18140061588371775,1.1478080608731362,0.2788972653339097,-0.12856085477663315,0.6863553854444525
