ambiguous_position_games,confirmed_defensive_innings,confirmed_defensive_outs,coverage_status,fielding_mentions,player,player_key,position,position_game_labels,season,team
5,0.0,0,position_label_only_no_defensive_innings,4,Amari Harper,amariharper,1B,5,2026,Oklahoma City Spark
3,0.0,0,position_label_only_no_defensive_innings,3,Amari Harper,amariharper,2B,3,2026,Oklahoma City Spark
6,7.0,21,confirmed_clean_team_games_only,17,Amari Harper,amariharper,RF,7,2026,Oklahoma City Spark
2,0.0,0,position_label_only_no_defensive_innings,3,Aminah Vega,aminahvega,2B,2,2026,Texas Volts
7,0.0,0,position_label_only_no_defensive_innings,27,Aminah Vega,aminahvega,3B,7,2026,Texas Volts
1,0.0,0,position_label_only_no_defensive_innings,3,Aminah Vega,aminahvega,LF,1,2026,Texas Volts
12,7.0,21,confirmed_clean_team_games_only,40,Ana Gold,anagold,3B,13,2026,Carolina Blaze
3,0.0,0,position_label_only_no_defensive_innings,4,Ashton Maloney,ashtonmaloney,RF,3,2026,Portland Cascade
8,0.0,0,position_label_only_no_defensive_innings,9,Aubrey Leach,aubreyleach,2B,8,2026,Carolina Blaze
7,7.0,21,confirmed_clean_team_games_only,20,Aubrey Leach,aubreyleach,CF,8,2026,Carolina Blaze
2,0.0,0,position_label_only_no_defensive_innings,5,Aubrey Leach,aubreyleach,RF,2,2026,Carolina Blaze
5,0.0,0,position_label_only_no_defensive_innings,11,Baylee Klingler,bayleeklingler,1B,5,2026,Carolina Blaze
1,7.0,21,confirmed_clean_team_games_only,2,Baylee Klingler,bayleeklingler,RF,2,2026,Carolina Blaze
1,0.0,0,position_label_only_no_defensive_innings,1,Bella Dayton,belladayton,CF,1,2026,Chicago Bandits
6,0.0,0,position_label_only_no_defensive_innings,19,Bella Dayton,belladayton,LF,6,2026,Chicago Bandits
4,0.0,0,position_label_only_no_defensive_innings,14,Bella Dayton,belladayton,RF,4,2026,Chicago Bandits
7,0.0,0,position_label_only_no_defensive_innings,8,Bri Ellis,briellis,1B,7,2026,Utah Talons
4,7.0,21,confirmed_clean_team_games_only,18,Bubba Nickles-Camarena,bubbanicklescamarena,CF,5,2026,Oklahoma City Spark
10,0.0,0,position_label_only_no_defensive_innings,43,Bubba Nickles-Camarena,bubbanicklescamarena,LF,10,2026,Oklahoma City Spark
12,0.0,0,position_label_only_no_defensive_innings,16,Caroline Jacobsen,carolinejacobsen,RF,12,2026,Utah Talons
13,7.0,21,confirmed_clean_team_games_only,18,Dakota Kennedy,dakotakennedy,LF,14,2026,Carolina Blaze
3,0.0,0,position_label_only_no_defensive_innings,4,Dakota Kennedy,dakotakennedy,RF,3,2026,Carolina Blaze
2,0.0,0,position_label_only_no_defensive_innings,5,Danieca Coffey,daniecacoffey,3B,2,2026,Texas Volts
7,0.0,0,position_label_only_no_defensive_innings,17,Danieca Coffey,daniecacoffey,RF,7,2026,Texas Volts
4,7.0,21,confirmed_clean_team_games_only,5,Dejah Mulipola,dejahmulipola,C,5,2026,Texas Volts
1,0.0,0,position_label_only_no_defensive_innings,5,Dejah Mulipola,dejahmulipola,LF,1,2026,Texas Volts
4,0.0,0,position_label_only_no_defensive_innings,7,Delanie Wisz,delaniewisz,1B,4,2026,Oklahoma City Spark
11,7.0,21,confirmed_clean_team_games_only,7,Delanie Wisz,delaniewisz,C,12,2026,Oklahoma City Spark
10,7.0,21,confirmed_clean_team_games_only,11,Devyn Netz,devynnetz,1B,11,2026,Carolina Blaze
7,0.0,0,position_label_only_no_defensive_innings,19,Elon Butler,elonbutler,RF,7,2026,Chicago Bandits
12,0.0,0,position_label_only_no_defensive_innings,29,Erin Coffel,erincoffel,SS,12,2026,Chicago Bandits
9,0.0,0,position_label_only_no_defensive_innings,26,Grace Jenkins,gracejenkins,RF,9,2026,Oklahoma City Spark
7,7.0,21,confirmed_clean_team_games_only,8,Haley Lee,haleylee,1B,8,2026,Oklahoma City Spark
4,0.0,0,position_label_only_no_defensive_innings,0,Haley Lee,haleylee,C,4,2026,Oklahoma City Spark
3,0.0,0,position_label_only_no_defensive_innings,11,Hannah Flippen,hannahflippen,2B,3,2026,Utah Talons
7,0.0,0,position_label_only_no_defensive_innings,19,Hannah Flippen,hannahflippen,SS,7,2026,Utah Talons
7,0.0,0,position_label_only_no_defensive_innings,4,Jackie Lis,jackielis,1B,7,2026,Texas Volts
4,7.0,21,confirmed_clean_team_games_only,17,Jackie Lis,jackielis,3B,5,2026,Texas Volts
13,0.0,0,position_label_only_no_defensive_innings,55,Jadelyn Allchin,jadelynallchin,LF,13,2026,Utah Talons
3,0.0,0,position_label_only_no_defensive_innings,8,Jadelyn Allchin,jadelynallchin,RF,3,2026,Utah Talons
12,7.0,21,confirmed_clean_team_games_only,20,Jaila Lassiter,jailalassiter,CF,13,2026,Texas Volts
4,0.0,0,position_label_only_no_defensive_innings,7,Jaila Lassiter,jailalassiter,LF,4,2026,Texas Volts
7,0.0,0,position_label_only_no_defensive_innings,18,Jayda Coleman,jaydacoleman,CF,7,2026,Utah Talons
11,7.0,21,confirmed_clean_team_games_only,43,Jaydyn Goodwin,jaydyngoodwin,LF,12,2026,Texas Volts
