player_key,player,teams,PA,woba_denom,obp_numerator,woba_raw_numerator,H,1B,2B,3B,HR,BB,IBB,HBP,SO,ROE,SF,SH,reach_opportunities,wOBA,OBP,batting_runs,baserunning_runs,sb_cs_runs,non_steal_advancement_runs,runner_advancement_runs,batter_advancement_runs,sb_cs_attempts,advancement_opportunities,double_play_avoidance_runs,double_play_opportunities,actual_double_plays,expected_double_plays,range_runs,fielding_opportunities,arm_runs,arm_runs_unshrunk,arm_opportunities,catcher_stolen_bases_allowed,catcher_caught_stealing,catcher_steal_attempts,catcher_cs_rate,catcher_throwing_runs,throwing_runs,positional_adjustment_runs,league_adjustment_runs,position_replacement_runs,hitting_runs,wRAA,batting_war,baserunning_component_runs,baserunning_war,defense_runs,defense_war,defensive_war,offensive_war,position_war
gracejenkins,Grace Jenkins,Oklahoma City Spark,43,43,12,10.957193197984006,7,5,1,0,1,4,0,1,6,0,1,0,14,0.2689718941970644,0.27906976744186046,-3.6215717258173683,-0.9758734629857537,0.12774800921395715,-1.1036214721997109,-0.2124317108184668,-0.8911897613812441,0,17,-0.5488256334892259,3,1,0.42847908182676453,-2.1271473834410672,24,0.7962798221767023,1.76146748542119,33,0,0,0,0.0,0.0,0.7962798221767023,0.0,0.007718723401497187,1.728063667599711,-3.6215717258173683,-3.6215717258173683,-0.3537826084210454,-1.5246990964749796,-0.1489441779001042,-1.3308675612643648,-0.13000924265300778,-0.13000924265300778,-0.33316239040928064,-0.4631716330622884
michaelaedenfield,Michaela Edenfield,Texas Volts,21,21,4,4.28204195518221,3,2,0,0,1,1,0,0,6,0,0,0,5,0.2152324063504061,0.19047619047619047,-2.8378199843486938,-0.3935835721987796,0.04562428900498469,-0.43920786120376426,0.0003939542938224405,-0.4396018154975867,0,3,0.1059885862137469,1,0,0.11901306240928883,0.07389593887884603,6,0.008905817544991698,0.08015235790492528,5,12,2,14,0.14285714285714285,-0.5624075153789312,-0.5535016978339395,0.0,0.003769609103056766,0.8439380702231147,-2.8378199843486938,-2.8378199843486938,-0.277219790825946,-0.2875949859850327,-0.028094460641293895,-0.47960575895509344,-0.04685153001590578,-0.04685153001590578,-0.22250373253353656,-0.26935526254944225
sierraromero,Sierra Romero,Texas Volts,36,36,7,7.52695262288859,4,2,0,0,2,3,0,0,11,0,1,0,7,0.22069511456725344,0.19444444444444445,-4.678524987735816,0.27548752025379003,0.06387400460697858,0.21161351564681147,0.2841882058886744,-0.07257469024186292,0,10,-0.5831741272438988,2,1,0.3862112806287563,-0.517374927658,25,0.15869324543445254,0.5554263590205839,16,0,0,0,0.0,0.0,0.15869324543445254,0.0,0.006462187033811599,1.4467509775253395,-4.678524987735816,-4.678524987735816,-0.4570338237193553,-0.3076866069901088,-0.030057162646037056,-0.35868168222354746,-0.035038748570209687,-0.035038748570209687,-0.34513009676475803,-0.38016884533496775
aliyahbinford,Aliyah Binford,Texas Volts,49,49,15,18.76100114421281,14,5,3,1,5,0,0,1,10,0,0,0,19,0.40414384379577956,0.30612244897959184,2.1479899519740315,-1.5491297470216097,-0.37554183860281054,-1.1735879084187992,-0.6798461274169837,-0.49374178100181554,1,21,-0.4203958582033743,4,1,0.571532522439282,-0.07601473834214016,3,-0.030771461924371562,-0.23591454142018198,3,0,0,0,0.0,0.0,-0.030771461924371562,0.0,0.00879575457379912,1.969188830520601,2.1479899519740315,2.1479899519740315,0.209831958498643,-1.9695256052249839,-0.19239820683415368,-0.10678620026651173,-0.010431686387526158,-0.010431686387526158,0.2106582958431306,0.20022660945560442
morganzerkle,Morgan Zerkle,Chicago Bandits,59,59,22,21.083288601336914,16,9,4,2,1,5,0,1,6,3,0,0,29,0.3771919190469235,0.3728813559322034,1.0798669617024705,-0.5798771289670095,0.26462087622891123,-0.8444980051959208,0.6674280631016682,-1.511926068297589,0,43,0.7145311220315566,6,0,0.7982790921058003,1.877259920207394,45,0.8807834720715978,1.585410249728876,50,0,0,0,0.0,0.0,0.8807834720715978,0.0,0.010590806527635676,2.3710641020554175,1.0798669617024705,1.0798669617024705,0.10548959937348343,0.13465399306454706,0.013154023862369628,2.7580433922789918,0.2694266079290945,0.2694266079290945,0.351301747859115,0.6207283557882096
ailanaagbayani,Ailana Agbayani,Chicago Bandits,48,46,15,14.408842875624616,13,10,1,1,1,1,0,1,7,0,0,2,17,0.33063384805354973,0.32608695652173914,-1.1870451823954566,0.5349502110405202,0.15512258261694797,0.37982762842357226,0.3282289871302083,0.051598641293363945,0,29,1.0890906770553594,8,0,1.2104734374335033,0.2149698434209072,37,-0.13131807609168838,-0.5353736948353449,13,0,0,0,0.0,0.0,-0.13131807609168838,0.0,0.008616249378415465,1.9290013033671194,-1.1870451823954566,-1.1870451823954566,-0.11595958129110878,1.6240408880958797,0.15864863795934264,0.0836517673292188,0.008171739422910945,0.008171739422910945,0.23197024280241307,0.24014198222532399
erincoffel,Erin Coffel,Chicago Bandits,52,51,31,25.807945638171365,12,6,5,0,1,15,1,4,5,2,0,0,34,0.5341451592984502,0.6078431372549019,8.516852356453452,-0.7159598582474787,0.31024516523389595,-1.0262050234813747,-0.6347740114746645,-0.39143101200671016,0,43,0.26987164237608113,2,0,0.30004623208506703,2.4039449450077233,30,0.004638673334060852,0.04174806000654767,5,0,0,0,0.0,0.0,0.004638673334060852,0.0,0.009334270159950087,2.089751411981046,8.516852356453452,8.516852356453452,0.8319907681858728,-0.4460882158713975,-0.043577282060112923,2.408583618341784,0.23528872534060846,0.23528872534060846,0.9934681044377874,1.228756829778396
jocelynerickson,Jocelyn Erickson,Chicago Bandits,50,50,19,15.826705060260524,10,8,2,0,0,6,0,3,5,0,0,0,23,0.3341154377177722,0.38,-1.1253471767178183,-0.16522826231777976,0.2098717294229296,-0.37509999174070935,-1.035624268241176,0.6605242765004666,0,30,0.5018616248139306,4,0,0.5595113065070932,0.4779106295310236,13,0.12037930509372347,0.46432017679007626,14,5,2,7,0.2857142857142857,-0.012166796239887756,0.10821250885383571,0.0,0.008975259769182776,2.0093763576740824,-1.1253471767178183,-1.1253471767178183,-0.10993245190211816,0.33663336249615083,0.03288490138589109,0.5861231383848593,0.057256955944155676,0.057256955944155676,0.12012035170687622,0.1773773076510319
tarynkern,Taryn Kern,Chicago Bandits,33,32,12,9.701392608574695,5,4,1,0,0,3,0,4,8,0,1,1,13,0.32000748749742225,0.375,-1.1479208230914446,-0.1924454826271117,0.1186231514129602,-0.3110686340400719,-0.9629015363589128,0.651832902318841,0,21,-0.5524582732488624,3,1,0.42458757530199187,0.5579610758491679,11,0.09346782907104637,0.5608069744262782,8,0,0,0,0.0,0.0,0.09346782907104637,0.0,0.005923671447660632,1.3261883960648946,-1.1479208230914446,-1.1479208230914446,-0.11213761697967392,-0.7449037558759741,-0.07276785156504324,0.6514289049202142,0.06363651879116769,0.06363651879116769,-0.05477465307746896,0.00886186571369873
jessicaclements,Jessica Clements,Chicago Bandits,26,26,9,8.528470297543867,7,6,0,0,1,2,0,0,7,0,0,0,9,0.3462372829872746,0.34615384615384615,-0.2865968656848713,0.6966665032033679,0.08212372020897245,0.6145427829943955,0.5552823836075188,0.05926039938687666,0,15,0.17471930088591217,2,0,0.1981132075471698,-0.5400987049140114,23,0.2840712895231095,0.5830936995474353,38,0,0,0,0.0,0.0,0.2840712895231095,0.0,0.004667135079975043,1.044875705990523,-0.2865968656848713,-0.2865968656848713,-0.02799695667615307,0.87138580408928,0.08512357784166161,-0.25602741539090185,-0.02501070079561901,-0.02501070079561901,0.15965393032152228,0.13464322952590324
aliyahandrews,Aliyah Andrews,Utah Talons,66,64,24,19.606993293689193,15,13,1,1,0,9,1,0,5,1,0,1,26,0.32337546342298296,0.375,-2.091633569643084,-0.5486113211332063,0.2372463028259204,-0.7858576239591267,0.1988904477434691,-0.9847480717025958,0,59,0.886518968919591,6,0,0.9825230228646606,-0.7948964462018603,46,1.4633399369301086,2.4074302188205015,62,0,0,0,0.0,0.0,1.4633399369301086,0.0,0.011847342895321264,2.652376792129789,-2.091633569643084,-2.091633569643084,-0.2043266394129865,0.3379076477863847,0.03300938324293612,0.6684434907282483,0.06529863264782794,0.06529863264782794,0.088944374764446,0.15424300741227395
hannahflippen,Hannah Flippen,Utah Talons,38,38,12,10.546619368998794,8,6,1,1,0,4,0,0,3,1,1,0,15,0.29295823715100733,0.3157894736842105,-2.3369403311047465,0.04783645552224022,0.13687286701495407,-0.08903641149271385,0.760890814663852,-0.8499272261565658,0,29,-0.9664760337715634,6,2,0.9974811193248154,-0.7545470200485094,31,0.2143418805198271,0.9937669005919256,11,0,0,0,0.0,0.0,0.2143418805198271,0.0,0.0068211974245789096,1.5271260318323028,-2.3369403311047465,-2.3369403311047465,-0.22829006537927443,-0.9186395782493232,-0.0897396850861774,-0.5402051395286822,-0.05277133736783257,-0.05277133736783257,-0.16818214477589333,-0.22095348214372587
sahvannajaquish,Sahvanna Jaquish,Utah Talons,59,59,18,15.671119663118853,11,10,0,0,1,7,0,0,12,4,0,0,22,0.2803651655639222,0.3050847457627119,-4.33230197651559,1.3674363541018026,0.20074687162193267,1.16668948247987,1.0810921681960135,0.08559731428385631,0,33,-1.4165476789230393,4,2,0.5043935913875464,1.06349101316829,44,0.037197456804692795,0.1434759048181008,14,0,4,4,1.0,0.29243792567165444,0.3296353824763472,0.0,0.010590806527635676,2.3710641020554175,-4.33230197651559,-4.33230197651559,-0.4232121326751898,-0.0491113248212367,-0.004797566889096742,1.3931263956446374,0.136091158045512,0.136091158045512,-0.19535157494102462,-0.05926041689551256
sharlizepalacios,Sharlize Palacios,Utah Talons,31,30,12,10.637799261767128,7,4,2,1,0,3,0,2,3,0,0,1,15,0.37428857777263413,0.4,0.4665679195801231,-1.6091180916471621,0.13687286701495407,-1.7459909586621163,-1.2698313363296148,-0.4761596223325016,0,19,0.4321328001779908,4,0,0.4848135126188751,0.0,0,0.0,0.0,0,2,0,2,0.0,-0.031013738446057655,-0.031013738446057655,0.0,0.005564661056893321,1.2458133417579311,0.4665679195801231,0.4665679195801231,0.04557789492830839,-1.1769852914691714,-0.1149768548060965,-0.031013738446057655,-0.0030296573187040747,-0.0030296573187040747,0.052845139500535945,0.04981548218183186
jaydacoleman,Jayda Coleman,Utah Talons,29,29,13,13.003570472305544,12,8,3,0,1,1,0,0,2,0,1,0,16,0.47330452392678957,0.4482758620689655,3.1713801748581063,-1.7566190507555044,0.14599772481595102,-1.9026167755714554,-2.0303282623658396,0.12771148679438432,0,29,0.6555110847650932,4,0,0.7241100323624595,-0.16071496785790051,20,0.3080835090237598,0.9566803701264122,19,0,0,0,0.0,0.0,0.3080835090237598,0.0,0.00520565066612601,1.165438287450968,3.1713801748581063,3.1713801748581063,0.30980448145145256,-1.101107965990411,-0.10756458185937474,0.1473685411658593,0.014396077405065065,0.014396077405065065,0.31659728288147776,0.3309933602865428
maryiakopo,Mary Iakopo,Chicago Bandits,45,45,16,15.552973295102657,10,6,1,1,2,2,0,4,8,2,2,0,20,0.3648185814574026,0.35555555555555557,0.2961262818221485,-0.366725532859027,0.18249715601993877,-0.5492226888789657,-0.654405850883673,0.10518316200470723,0,16,-1.4293452194700578,3,2,0.48521249313061005,0.017789763063425907,4,-0.005121012219352145,-0.07340117514404741,3,6,4,10,0.4,0.20804220795698802,0.20292119573763587,0.0,0.008077733792264499,1.8084387219066744,0.2961262818221485,0.2961262818221485,0.028927862358275006,-1.7960707523290846,-0.17545382054370953,0.22071095880106179,0.021560721317517597,0.021560721317517597,0.03092515381535844,0.052485875132876045
samiwilliams,Sami Williams,Chicago Bandits,57,57,33,36.49225378995738,24,8,8,1,7,5,0,4,7,0,2,0,34,0.6757746070681078,0.5789473684210527,17.166914239802075,-1.658053584369489,-0.5679561661341177,-1.0900974182353713,-1.449076045941165,0.3589786277057937,1,44,0.27866481637519935,2,0,0.3094660194174757,1.3906683222367433,39,0.021880591105554997,0.11912766268579943,9,0,0,0,0.0,0.0,0.021880591105554997,0.0,0.010231796136868363,2.290689047748454,17.166914239802075,17.166914239802075,1.6769944538173807,-1.3793887679942896,-0.13474916232884282,1.4125489133422984,0.13798849696170634,0.13798849696170634,1.7670167000228756,1.905005196984582
belladayton,Bella Dayton,Chicago Bandits,33,31,10,8.640555476134006,9,9,0,0,0,0,0,1,3,0,0,2,14,0.29420903589351943,0.3225806451612903,-1.8697169107925653,0.5426523228272581,-0.33971351953763507,0.8823658423648931,0.8281136755437424,0.05425216682115075,1,28,0.662022885337268,5,0,0.7365574604115981,-0.49809530356612114,35,0.38368446725179645,0.863290051316542,32,0,0,0,0.0,0.0,0.38368446725179645,0.0,0.005923671447660632,1.3261883960648946,-1.8697169107925653,-1.8697169107925653,-0.18264813616520104,1.204675208164526,0.11768181599341995,-0.1144108363143247,-0.011176518696113833,-0.011176518696113833,0.0651644952954671,0.05398797659935327
